tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
13.3,11.3,14.9,0.8,,242.0,23.6,,1007.1,
10.1,6.7,13.5,,,247.0,17.3,,1013.9,
13.1,10.2,15.5,3.6,,229.0,16.6,,1011.7,
13.0,9.3,15.7,15.5,,186.0,19.6,,1004.0,
10.9,8.5,13.1,3.0,,226.0,25.3,,999.3,
11.0,7.9,13.4,34.0,,224.0,30.0,,981.3,
10.7,9.3,13.0,1.3,,238.0,20.6,,989.5,
8.9,6.5,11.2,0.8,,230.0,21.5,,994.2,
7.8,4.4,10.9,11.7,,184.0,19.3,,987.4,
8.7,6.9,11.1,,,246.0,13.1,,993.3,
5.8,0.7,11.3,,,220.0,5.9,,1006.2,
6.6,0.4,11.0,2.8,,,16.6,,997.7,
10.0,9.0,11.2,26.2,,87.0,13.2,,971.6,
8.6,7.7,10.5,2.8,,321.0,10.8,,,
8.1,,,,,,,,,
8.6,7.0,10.3,1.5,10.0,250.0,17.6,,1002.6,
7.1,3.7,10.0,,,231.0,14.1,,1013.6,
11.4,9.9,13.2,4.8,,209.0,22.3,,1006.5,
9.6,7.6,11.3,,,221.0,13.5,,995.5,
4.3,-0.1,10.7,,,,4.4,,,
2.3,-1.1,8.5,,,,1.5,,1002.6,
2.3,-2.5,7.8,,,,4.7,,1007.7,
8.0,3.2,10.4,5.1,,220.0,14.1,,1002.9,
6.0,3.6,8.6,0.8,,253.0,15.0,,1010.6,
9.0,5.4,11.8,,,226.0,13.8,,1006.3,
9.0,6.1,11.4,2.8,,256.0,15.5,,995.0,
6.2,4.4,7.3,,,221.0,9.5,,995.6,
6.1,4.1,10.0,4.3,,177.0,13.1,,993.6,
9.4,7.8,10.8,1.0,,201.0,24.8,,994.3,
6.9,3.3,8.4,,,244.0,6.6,,,
6.5,3.0,9.2,1.3,,195.0,10.5,,1004.0,
9.7,8.2,11.0,8.1,,190.0,18.3,,,
9.2,7.5,10.8,1.5,,241.0,25.0,,995.3,
9.8,7.3,13.0,,,188.0,11.6,,1008.2,
14.1,10.1,15.6,9.7,,194.0,20.6,,1006.2,
12.4,10.0,14.2,2.8,,179.0,19.2,,1002.4,
9.8,6.3,,,,,,,,
11.8,9.9,13.7,8.1,,176.0,22.1,,1001.9,
11.1,9.8,12.8,,,204.0,13.5,,1008.8,
9.3,6.8,11.4,,,208.0,13.3,,1013.0,
11.8,9.5,13.6,10.9,,189.0,21.1,,1003.9,
13.0,12.2,13.8,2.5,,177.0,18.6,,1002.4,
11.4,9.4,12.8,,,185.0,21.0,,1003.2,
9.8,7.8,12.5,1.0,,114.0,17.9,,996.9,
11.5,8.9,14.2,14.0,,208.0,24.7,,991.1,
10.0,8.8,11.5,1.8,,210.0,20.0,,1003.1,
10.9,10.0,12.5,8.1,,210.0,24.5,,1003.7,
13.6,12.8,14.2,1.8,,217.0,26.3,,1011.4,
13.7,12.4,14.4,7.1,,224.0,19.8,,1006.3,
11.1,8.9,12.8,4.8,,243.0,25.7,,1003.9,
7.5,5.3,9.2,1.3,,250.0,17.5,,1003.9,
5.2,3.9,7.0,,,276.0,12.9,,1008.8,
4.1,2.5,5.7,,,250.0,8.7,,1012.9,
5.4,4.5,6.7,,,183.0,8.0,,1013.4,
7.1,5.2,8.7,1.3,,81.0,12.2,,1013.8,
9.5,7.9,11.0,3.8,,126.0,10.2,,1016.3,
9.5,8.4,10.1,,,122.0,15.8,,1013.8,
6.3,3.8,7.8,,,93.0,12.8,,1016.3,
5.6,4.8,6.4,,,74.0,14.6,,1014.9,
4.6,2.8,5.6,,,103.0,13.4,,1009.8,
6.0,4.8,6.9,6.1,,64.0,18.3,,1001.1,
4.1,3.0,4.6,2.5,,58.0,26.7,,999.3,
2.2,1.7,2.7,,,57.0,23.2,,994.0,
2.5,1.7,3.3,,,5.0,14.7,,993.1,
1.5,0.0,3.3,,10.0,243.0,12.8,,994.7,
-0.2,-1.4,2.0,,10.0,262.0,10.8,,999.1,
0.6,-1.6,3.0,,,267.0,12.9,,1007.9,
2.7,-0.2,5.5,,,158.0,15.4,,1008.0,
9.8,5.0,12.0,7.1,,195.0,17.4,,988.3,
10.2,9.2,11.0,6.1,,206.0,21.3,,983.8,
7.9,5.2,10.9,0.8,,206.0,16.5,,996.9,
9.7,8.4,10.8,9.9,,212.0,15.7,,989.4,
7.7,6.9,8.5,3.0,,274.0,11.6,,985.0,
6.8,5.0,8.7,,,242.0,13.4,,998.0,
5.9,4.2,7.8,,,243.0,13.8,,1007.4,
5.9,3.9,8.1,,,251.0,14.3,,1013.0,
4.8,3.4,6.3,,,114.0,9.9,,1013.2,
5.4,4.0,6.7,,,56.0,25.2,,1009.9,
5.1,4.6,5.8,,,60.0,31.4,,1019.7,
6.0,4.8,7.4,,,70.0,28.5,,1026.5,
4.7,3.0,7.9,,,64.0,18.9,,1032.3,
4.4,2.2,6.9,,,57.0,18.9,,1033.6,
3.1,1.3,4.8,,,74.0,20.2,,1024.8,
-0.1,-4.1,3.0,,,50.0,7.9,,1022.4,
1.4,-0.6,4.3,,,56.0,7.8,,1019.7,
1.3,-0.7,3.5,,,52.0,7.9,,1019.1,
1.6,0.3,2.9,,,257.0,7.4,,1021.8,
-0.4,-2.6,2.3,,,,,,,
3.0,-0.5,4.8,7.9,,89.0,10.9,,1014.2,
7.8,4.4,10.6,4.3,,139.0,12.7,,999.8,
9.6,7.3,12.6,4.3,,194.0,19.1,,989.0,
9.5,8.1,11.6,14.7,,222.0,21.7,,990.2,
7.1,5.6,8.8,3.0,,210.0,15.8,,996.8,
6.5,2.5,8.9,,,215.0,12.6,,994.3,
4.8,2.6,7.7,,,257.0,15.4,,997.6,
0.9,-3.6,5.8,,,,5.2,,1005.8,
2.2,-0.2,4.4,,,,,,,
3.7,0.4,5.2,,,,10.0,,1019.7,
5.0,2.9,5.7,1.8,,81.0,9.5,,1023.0,
3.4,0.7,6.1,,,212.0,7.8,,1029.0,
6.5,3.4,8.2,5.8,,240.0,11.3,,1015.4,
8.1,6.5,10.2,4.8,,254.0,14.9,,1004.9,
8.4,5.1,11.2,9.1,,205.0,13.5,,995.9,
9.7,8.3,11.7,7.6,,227.0,17.5,,991.4,
10.8,8.6,12.7,6.1,,217.0,25.8,,992.2,
10.3,9.1,12.8,0.8,,193.0,16.4,,996.0,
6.1,3.5,8.9,18.0,,20.0,16.8,,996.8,
4.4,2.0,7.1,,,35.0,9.8,,1018.9,
7.4,4.9,11.0,,,164.0,14.5,,1024.9,
12.6,10.8,13.5,0.8,,222.0,23.6,,1025.1,
10.2,6.3,12.6,,,243.0,17.6,,1021.8,
6.8,4.2,10.6,,,42.0,12.2,,1036.6,
6.6,3.3,11.4,,,72.0,12.0,,1034.1,
6.3,3.5,11.0,,,164.0,7.3,,1031.3,
5.9,2.9,8.6,,,352.0,10.3,,1034.1,
3.1,-1.5,8.2,,,,8.9,,1042.6,
2.7,-1.2,8.4,,,337.0,3.0,,1042.5,
4.4,1.0,7.9,,,276.0,11.1,,1039.5,
6.4,4.0,9.4,,,277.0,10.2,,1035.9,
9.4,6.4,12.0,1.5,,268.0,13.9,,1029.3,
8.8,7.3,10.3,1.5,,280.0,16.4,,1020.0,
4.7,1.6,7.3,1.3,,305.0,19.8,,1010.5,
3.4,2.1,5.0,1.3,,355.0,17.3,,1012.6,
2.1,-0.8,4.6,,,293.0,14.3,,1014.1,
4.9,2.8,8.0,2.8,,195.0,15.1,,1001.4,
4.6,3.5,5.9,,,99.0,11.7,,989.8,
2.9,1.4,3.9,2.8,,13.0,18.8,,993.9,
1.9,0.8,3.2,1.8,,356.0,14.7,,998.2,
0.1,-2.6,3.5,1.5,,13.0,8.6,,,
1.8,0.5,4.1,,10.0,63.0,21.4,,997.0,
2.5,1.1,4.5,,,33.0,13.6,,998.3,
1.5,-6.0,8.7,,,,7.3,,1016.2,
6.8,0.8,13.1,,,102.0,21.3,,1012.4,
